Paul,Jewell,England,
Paul,Goddard,England,
Paul,Hart,England,
Paul,Heckingbottom,England,
Paul,Sturrock,Scotland,
Paul,Clement,England,
Pep,Guardiola,Spain,
Pepe,Mel,Spain,
Peter,Reid,England,
Peter,Taylor,England,
Peter,Shreeves,Wales,
Phil,Neal,England,
Phil,Brown,England,
Phil,Thompson,England,
Quique,SÃ¡nchez Flores,Spain,
RÃ©mi,Garde,France,
Rafael,BenÃ­tez,Spain,
Ralf,Rangnick,Germany,
Ralph,HasenhÃ¼ttl,Austria,
Ray,Harford,England,
Ray,Wilkins,England,
Ray,Lewington,England,
RenÃ©,Meulensteen,Netherlands,
Ricky,Sbragia,Scotland,
Rob,Kelly,England,
Roberto,Di Matteo,Italy,
Roberto,MartÃ­nez,Spain,
Roberto,Mancini,Italy,
Ron,Atkinson,England,
Ron,Noades,England,
Ronald,Koeman,Netherlands,
Roy,Hodgson,England,
Roy,McFarland,England,
Roy,Evans,England,
Roy,Keane,Republic of Ireland,
Ruud,Gullit,Netherlands,
Ryan,Giggs,Wales,
Ryan,Mason,England,
Sam,Allardyce,England,
Sammy,Lee,England,
Scott,Marshall,Scotland,
Scott,Parker,England,
Sean,Dyche,England,
Slaven,BiliÄ‡,Croatia,
SlaviÅ¡a,JokanoviÄ‡,Serbia,
Steve,Bruce,England,
Steve,Kean,Scotland,
Steve,Holland,England,
Steve,Coppell,England,
Steve,McClaren,England,
Steve,Agnew,England,
Steve,Clarke,Scotland,
Steve,Wigley,England,
Steve,Perryman,England,
Steven,Gerrard,England,
Stewart,Houston,Scotland,
Stuart,Gray,England,
Stuart,McCall,Scotland,
Stuart,Pearce,England,
Sven-GÃ¶ran,Eriksson,Sweden,
Terry,Venables,England,
Terry,McDermott,England,
Terry,Burton,England,
Terry,Connor,England,
Thomas,Frank,Denmark,
Thomas,Tuchel,Germany,
Tim,Sherwood,England,
Tomas,Brolin,Sweden,
Tony,Parkes,England,
Tony,Pulis,Wales,
Tony,Book,England,
Tony,Adams,England,
Tony,Mowbray,England,
Trevor,Francis,England,
Trevor,Brooking,England,
Unai,Emery,Spain,
Velimir,Zajec,Croatia,
Walter,Smith,Scotland,
Walter,Mazzarri,Italy,
Xisco,MuÃ±oz,Spain,
