name,surname,birth_date,height,role
Adam,Matthews,13/01/1992,178 cm,DF
Adam,Mitchell,03/04/1993,???,FW
Adam,Morgan,21/04/1994,179 cm,FW
Adam,Murray,30/09/1982,173 cm,MF
Adam,Newton,04/12/1980,178 cm,DF
Adam,Phillips,15/01/1998,180 cm,MF
Adam,Rachel,10/12/1976,180 cm,GK
Adam,Reed,18/02/1975,183 cm,DF
Adam,Smith,23/11/1992,193 cm,GK
Adam,Smith,29/04/1991,174 cm,DF
Adam,Tanner,25/10/1973,183 cm,MF
Adam,Webster,04/01/1995,190 cm,DF
Adam,Willis,21/09/1976,186 cm,DF
Adama,Diakhaby,05/07/1996,184 cm,FW
Adama,Diomandé,14/02/1990,180 cm,FW
Adama,Traoré,25/01/1996,178 cm,FW
Ade,Akinbiyi,10/10/1974,186 cm,FW
Adel,Gafaiti,16/07/1994,185 cm,DF
Adel,Taarabt,24/05/1989,178 cm,MF
Adem,Poric,22/04/1973,175 cm,MF
Ademola,Bankole,09/09/1969,191 cm,GK
Ademola,Lookman,20/10/1997,174 cm,FW
Adie,Mike,16/11/1973,183 cm,FW
Adie,Moses,04/05/1975,186 cm,DF
Adil,Nabi,28/02/1994,175 cm,MF
Adlène,Guédioura,12/11/1985,178 cm,MF
Adnan,Januzaj,05/02/1995,186 cm,MF
Adnan,Marić,17/02/1997,181 cm,MF
Adrián,,03/01/1987,190 cm,GK
Adrián,Bernabé,26/05/2001,170 cm,MF
Adrián,Paz,09/09/1968,178 cm,MF
Adrian,Bakalli,22/11/1976,173 cm,MF
Adrian,Cáceres,10/01/1982,178 cm,MF
Adrian,Clarke,28/09/1974,178 cm,MF
Adrian,Deane,24/02/1983,180 cm,MF
Adrian,Leijer,25/03/1986,187 cm,DF
Adrian,Littlejohn,26/09/1970,175 cm,FW
Adrian,Mariappa,03/10/1986,180 cm,DF
Adrian,Mutu,08/01/1979,180 cm,FW
Adrian,Viveash,30/09/1969,186 cm,DF
Adrian,Webster,11/10/1980,178 cm,MF
Adrian,Whitbread,22/10/1971,188 cm,DF
Adriano,Basso,18/04/1975,185 cm,GK
Adrien,Silva,15/03/1989,175 cm,MF
Afonso,Alves,30/01/1981,185 cm,FW
Agustín,Delgado,23/12/1974,188 cm,FW
Ahmad,Elrich,30/05/1981,179 cm,MF
Ahmed,Elmohamady,09/09/1987,182 cm,DF
Ahmed,Fathi,10/11/1984,175 cm,MF
Ahmed,Hegazy,25/01/1991,193 cm,DF
Ahmed,Musa,14/10/1992,171 cm,FW
Aidan,Davison,11/05/1968,186 cm,GK
Aidan,Newhouse,23/05/1972,188 cm,FW
Aiden,McGeady,04/04/1986,178 cm,MF
Aiden,O’Neill,04/07/1998,178 cm,MF
Ainsley,Maitland-Niles,29/08/1997,180 cm,MF
Aji,Alese,17/01/2001,192 cm,DF
Aki,Riihilahti,09/09/1976,185 cm,MF
Akin,Famewo,09/11/1998,187 cm,DF
Akwasi,Asante,06/09/1992,183 cm,FW
Al,Bangura,24/01/1988,175 cm,MF
Alain,Goma,05/10/1972,183 cm,DF
Alan,Bennett,04/10/1981,187 cm,DF
Alan,Blayney,10/09/1981,188 cm,GK
Alan,Connell,05/02/1983,180 cm,FW
Alan,Cork,04/03/1959,183 cm,FW
Alan,Fettis,01/02/1971,186 cm,GK
Alan,Hutton,30/11/1984,185 cm,DF
Alan,Kelly,11/08/1968,190 cm,GK
Alan,Kernaghan,25/04/1967,187 cm,DF
Alan,Kimble,06/08/1966,175 cm,DF
Alan,Knight,03/07/1961,183 cm,GK
Alan,Lee,21/08/1978,188 cm,FW
Alan,Mahon,04/04/1978,177 cm,MF
Alan,Maybury,08/08/1978,178 cm,DF
Alan,McCarthy,11/01/1972,180 cm,DF
Alan,McDonald,12/10/1963,188 cm,DF
Alan,Miller,29/03/1970,194 cm,GK
Alan,Moore,25/11/1974,178 cm,MF
Alan,Morgan,27/11/1983,183 cm,MF
Alan,Navarro,31/05/1981,178 cm,MF
Alan,Neilson,26/09/1972,180 cm,DF
Alan,O'Brien,20/02/1985,178 cm,MF
Alan,O'Hare,31/07/1982,188 cm,DF
Alan,Quinn,13/06/1979,175 cm,MF
Alan,Reeves,19/11/1967,183 cm,DF
Alan,Rogers,03/01/1977,178 cm,DF
Alan,Shearer,13/08/1970,183 cm,FW
Alan,Sheehan,14/09/1986,180 cm,DF
Alan,Smith,21/11/1962,191 cm,FW
Alan,Smith,28/10/1980,178 cm,FW
Alan,Stubbs,06/10/1971,188 cm,DF
Alan,Tate,02/09/1982,186 cm,DF
Alan,Thompson,22/12/1973,183 cm,MF
Alan,Wright,28/09/1971,163 cm,DF
Albert,Ferrer,06/06/1970,170 cm,DF
Albert,Riera,15/04/1982,188 cm,MF
Albert,Sambi Lokonga,22/10/1999,183 cm,MF
Alberto,Aquilani,07/07/1984,185 cm,MF
Alberto,Méndez,24/10/1974,184 cm,MF
Alberto,Moreno,05/07/1992,171 cm,DF
Alberto,Paloschi,04/01/1990,183 cm,FW
Albian,Ajeti,26/02/1997,183 cm,FW
Aleš,Križan,25/07/1971,182 cm,DF
Aleš,Matějů,03/06/1996,185 cm,DF
Alec,Chamberlain,20/06/1964,188 cm,GK
Aled,Rowlands,09/06/1978,???,MF
Aleix,García,28/06/1997,173 cm,MF
Alejandro,Faurlín,09/08/1986,185 cm,MF
Aleksandar,Dragović,06/03/1991,186 cm,DF
Aleksandar,Kolarov,10/11/1985,187 cm,DF
Aleksandar,Mitrović,16/09/1994,188 cm,FW
Aleksandar,Rodić,26/12/1979,187 cm,FW
Aleksandar,Tonev,03/02/1990,178 cm,MF
Aleksey,Smertin,01/05/1975,174 cm,MF
Alen,Bokšić,21/01/1970,187 cm,FW
Alessandro,Atzeni,01/01/1980,180 cm,FW
Alessandro,Diamanti,02/05/1983,180 cm,FW
Alessandro,Pistone,27/07/1975,180 cm,DF
Alex,,17/06/1982,188 cm,DF
Alex,Baptiste,31/01/1986,180 cm,DF
Alex,Bruce,28/09/1984,180 cm,DF
Alex,Campana,11/10/1988,180 cm,MF
Alex,Cochrane,21/04/2000,175 cm,DF
Alex,Denny,12/04/2000,186 cm,MF
Alex,Gilliead,11/02/1996,183 cm,MF
Alex,Gorrin,01/08/1993,177 cm,MF
Alex,Higgins,22/07/1981,175 cm,MF
Alex,Iwobi,03/05/1996,183 cm,FW
Alex,Jakubiak,27/08/1996,177 cm,FW
Alex,Král,19/05/1998,187 cm,MF
Alex,Lawless,05/02/1983,180 cm,DF
Alex,Mathie,20/12/1968,178 cm,FW
Alex,McCarthy,03/12/1989,193 cm,GK
Alex,McQueen,24/03/1995,189 cm,DF
Alex,Nimely-Tchuimeni,11/05/1991,180 cm,FW
Alex,Notman,10/12/1979,170 cm,FW
Alex,Nyarko,15/10/1973,184 cm,MF
Alex,Oxlade-Chamberlain,15/08/1993,175 cm,FW
Alex,Oxlade-Chamberlain,15/08/1993,175 cm,MF
Alex,Palmer,10/08/1996,191 cm,GK
Alex,Pearce,09/11/1988,188 cm,DF
Alex,Pike,08/02/1997,180 cm,DF
Alex,Pritchard,03/05/1993,168 cm,MF
Alex,Rae,30/09/1969,178 cm,MF
Alex,Rúnarsson,18/02/1995,186 cm,GK
Alex,Smith,15/02/1976,173 cm,DF
Alex,Smith,31/10/1991,175 cm,DF
Alex,Smithies,05/03/1990,189 cm,GK
Alex,Song,09/09/1987,182 cm,MF
Alex,Telles,15/12/1992,181 cm,DF
Alex,Varney,27/12/1984,171 cm,FW
Alex,Whitmore,07/09/1995,186 cm,DF
Alexander,Büttner,11/02/1989,174 cm,DF
Alexander,Cleland,10/12/1970,173 cm,DF
Alexander,Kačaniklić,13/08/1991,181 cm,MF
Alexander,Manninger,04/06/1977,188 cm,GK
Alexander,Sørloth,05/12/1995,194 cm,FW
Alexander,Tettey,04/04/1986,181 cm,MF
Alexandre,Bonnot,21/07/1973,173 cm,MF
Alexandre,Jankewitz,25/12/2001,185 cm,MF
Alexandre,Lacazette,28/05/1991,176 cm,FW
Alexandre,Pato,02/09/1989,180 cm,FW
Alexandros,Gogić,13/04/1994,185 cm,MF
Alexis,Mac Allister,24/12/1998,174 cm,MF
Alexis,Nicolas,13/02/1983,178 cm,MF
Alexis,Sánchez,19/12/1988,169 cm,FW
Alfie,Devine,01/08/2004,???,MF
Alfie,Jones,07/10/1997,191 cm,DF
Alfie,Lewis,28/09/1999,169 cm,MF
Alfie,Mawson,19/01/1994,188 cm,DF
Alfie,Whiteman,02/10/1998,188 cm,GK
Alfie,Young,03/02/1997,???,DF
Alf-Inge,Håland,23/11/1972,186 cm,DF
Alfred,N'Diaye,06/03/1990,187 cm,MF
Ali,Al Habsi,30/12/1981,194 cm,GK
Ali,Benarbia,08/10/1968,171 cm,MF
Ali,Gabr,10/01/1989,193 cm,DF
Aliaksandr,Hleb,01/05/1981,185 cm,MF
Aliou,Cissé,24/03/1976,180 cm,MF
Alireza,Jahanbakhsh,11/08/1993,180 cm,FW
Alisson,,02/10/1992,191 cm,GK
Aljoša,Asanović,14/12/1965,186 cm,MF
Allan,,08/01/1991,175 cm,MF
Allan,Johnston,14/12/1973,181 cm,MF
Allan,McGregor,31/01/1982,183 cm,GK
Allan,Nielsen,13/03/1971,178 cm,MF
Allan,Nyom,10/05/1988,189 cm,DF
Allan,Saint-Maximin,12/03/1997,173 cm,FW
Allan,Smart,08/07/1974,188 cm,FW
Allan,Tchaptchet,21/12/2001,183 cm,DF
Ally,Pickering,22/06/1967,180 cm,DF
Almen,Abdi,21/10/1986,182 cm,MF
Alou,Diarra,15/07/1981,190 cm,MF
Alpaslan,Öztürk,16/07/1993,186 cm,DF
Alpay,Özalan,29/05/1973,187 cm,DF
Alpha,Dionkou,10/10/2001,183 cm,DF
Alphonse,Aréola,27/02/1993,195 cm,GK
Alton,Thelwell,05/09/1980,182 cm,DF
Alun,Armstrong,22/02/1975,183 cm,FW
Alvin,Martin,29/07/1958,185 cm,DF
Aly,Cissokho,15/09/1987,181 cm,DF
Amad,Diallo,11/07/2002,174 cm,FW
Amaury,Bischoff,31/03/1987,177 cm,MF
Amaya,,31/05/1983,192 cm,DF
Amdy,Faye,12/03/1977,184 cm,MF
Ömer,Rıza,11/08/1979,175 cm,FW
Amine,Linganzi,16/11/1989,186 cm,MF
Amir,Karič,31/12/1973,180 cm,MF
Amos,Nasha,04/09/1995,???,MF
Amr,Zaki,01/04/1983,185 cm,FW
Ander,Herrera,14/08/1989,182 cm,MF
Anders,Andersson,15/03/1974,174 cm,MF
Anders,Limpar,24/09/1965,174 cm,MF
Anders,Lindegaard,13/04/1984,193 cm,GK
Anders,Svensson,17/07/1976,177 cm,MF
Anderson,,13/04/1988,175 cm,MF
Anderson,,28/08/1982,188 cm,MF
Andi,Zeqiri,22/06/1999,185 cm,FW
André,Anguissa,16/11/1995,184 cm,MF
André,Ayew,17/12/1989,176 cm,FW
André,Bikey,08/01/1985,182 cm,DF
André,Carrillo,14/06/1991,181 cm,MF
André,Gomes,30/07/1993,188 cm,MF
André,Olukanmi,01/12/1997,???,MF
André,Ooijer,11/07/1974,184 cm,DF
André,Santos,08/03/1983,180 cm,DF
André,Schürrle,06/11/1990,184 cm,FW
Andrés,D'Alessandro,15/04/1981,173 cm,MF
Andranik,Teymourian,06/03/1983,180 cm,MF
Andre,Gray,26/06/1991,178 cm,FW
Andre,Green,26/07/1998,180 cm,FW
Andre,Wisdom,09/05/1993,186 cm,DF
Andrea,Dossena,11/09/1981,180 cm,DF
Andrea,Guatelli,05/05/1984,197 cm,GK
Andrea,Ranocchia,16/02/1988,195 cm,DF
Andrea,Silenzi,10/02/1966,191 cm,FW
Andreas,Andersson,10/04/1974,187 cm,FW
Andreas,Buck,29/12/1967,180 cm,MF
Andreas,Christensen,10/04/1996,188 cm,DF
Andreas,Granqvist,16/04/1985,192 cm,DF
Andreas,Isaksson,03/10/1981,196 cm,GK
Andreas,Jakobsson,06/10/1972,189 cm,DF
Andreas,Johansson,05/07/1978,178 cm,MF
Andreas,Lund,07/05/1975,???,FW
Andreas,Pereira,01/01/1996,178 cm,MF
Andreas,Søndergaard,17/01/2001,188 cm,GK
Andreas,Weimann,05/08/1991,179 cm,FW
Andrej,Kramarić,19/06/1991,177 cm,FW
Andrejs,Štolcers,08/07/1974,178 cm,FW
Andrejs,Pereplotkins,27/12/1984,172 cm,MF
Andrew,Barlow,24/11/1965,176 cm,DF
Andrew,Bernal,16/05/1966,178 cm,DF
Andrew,Couzens,04/06/1975,175 cm,MF
Andrew,Crofts,29/05/1984,175 cm,DF
Andrew,Cyrus,30/09/1976,173 cm,DF
Andrew,Davies,17/12/1984,188 cm,DF
Andrew,Ducros,16/09/1977,163 cm,FW
Andrew,Eleftheriou,08/11/1997,172 cm,DF
Andrew,Holden,14/09/1962,185 cm,DF
Andrew,Kellett,10/11/1993,171 cm,DF
Andrew,Lee,18/08/1982,170 cm,MF
Andrew,Martin,28/02/1980,183 cm,FW
Andrew,Moran,15/10/2003,168 cm,MF
Andrew,Myers,03/11/1973,173 cm,DF
Andrew,Omobamidele,23/06/2002,188 cm,DF
Andrew,Preece,27/03/1967,188 cm,FW
Andrew,Robertson,11/03/1994,178 cm,DF
Andrew,Surman,20/08/1986,178 cm,MF
Andrew,Taylor,01/08/1986,178 cm,DF
Andrew,Tutte,21/09/1990,175 cm,MF
Andrew,Williams,08/10/1977,178 cm,DF
Andrew,Wright,21/10/1978,???,MF
Andrey,Arshavin,29/05/1981,172 cm,FW
Andrey,Kanchelskis,23/01/1969,178 cm,MF
Andrey,Yarmolenko,23/10/1989,190 cm,FW
Andriy,Shevchenko,29/09/1976,183 cm,FW
Andriy,Voronin,21/07/1979,174 cm,FW
Andros,Townsend,16/07/1991,181 cm,FW
Andros,Townsend,16/07/1991,181 cm,MF
Andy,Barcham,16/12/1986,175 cm,FW
Andy,Barrowman,27/11/1984,180 cm,FW
Andy,Booth,06/12/1973,183 cm,FW
Andy,Campbell,18/04/1979,180 cm,FW
Andy,Carroll,06/01/1989,193 cm,FW
Andy,Clarke,22/07/1967,178 cm,FW
Andy,Cole,15/10/1971,178 cm,FW
Andy,Dawson,20/10/1978,175 cm,DF
Andy,Dibble,08/05/1965,188 cm,GK
Andy,Dow,07/02/1973,???,DF
Andy,Futcher,10/02/1978,???,DF
Andy,Goram,13/04/1964,181 cm,GK
Andy,Gray,15/11/1977,185 cm,MF
Andy,Gray,22/02/1964,178 cm,MF
Andy,Griffin,17/03/1979,173 cm,DF
Andy,Haworth,28/11/1988,180 cm,MF
Andy,Hill,20/01/1965,180 cm,DF
Andy,Hinchcliffe,05/02/1969,178 cm,DF
Andy,Hunt,09/06/1970,183 cm,FW
Andy,Impey,30/09/1971,173 cm,DF
Andy,Johnson,02/05/1974,185 cm,MF
Andy,Johnson,10/02/1981,170 cm,FW
Andy,Keogh,16/05/1986,183 cm,FW
Andy,King,29/10/1988,183 cm,MF
Andy,Liddell,28/06/1973,173 cm,FW
Andy,Linighan,18/06/1962,193 cm,DF
Andy,Lonergan,19/10/1983,192 cm,GK
Andy,Marriott,11/10/1970,188 cm,GK
Andy,Marshall,14/04/1975,188 cm,GK
Andy,McDermott,20/03/1977,175 cm,DF
Andy,Melville,29/11/1968,184 cm,DF
Andy,Morrison,30/07/1970,180 cm,DF
Andy,Mutch,28/12/1963,178 cm,FW
Andy,Oakes,11/01/1977,186 cm,GK
Andy,O'Brien,29/06/1979,191 cm,DF
Andy,Pearce,20/04/1966,193 cm,DF
Andy,Petterson,26/09/1969,189 cm,GK
Andy,Reid,29/07/1982,170 cm,MF
Andy,Ritchie,28/11/1960,178 cm,FW
Andy,Roberts,20/03/1974,178 cm,MF
Andy,Robinson,16/10/1992,188 cm,MF
Andy,Scott,02/08/1972,186 cm,FW
Andy,Sinton,19/03/1966,173 cm,MF
Andy,Thomson,28/03/1974,191 cm,DF
Andy,Thorn,12/11/1966,183 cm,DF
Andy,Todd,21/09/1974,178 cm,DF
Andy,Townsend,23/07/1963,180 cm,MF
Andy,Turner,23/03/1975,178 cm,FW
Andy,van der Meyde,30/09/1979,178 cm,MF
Andy,Welsh,24/11/1983,173 cm,FW
Andy,Wilkinson,06/08/1984,180 cm,DF
Ange-Freddy,Plumain,02/03/1995,184 cm,FW
Angel,Gomes,31/08/2000,168 cm,MF
Angelo,Ogbonna,23/05/1988,191 cm,DF
Angelos,Basinas,03/01/1976,180 cm,MF
Angus,Gunn,22/01/1996,196 cm,GK
Ansah,Owusu,22/11/1979,180 cm,DF
Ante,Palaversa,06/04/2000,187 cm,MF
Antef,Tsoungui,30/12/2002,185 cm,MF
Anthony,Barness,25/03/1973,179 cm,DF
Anthony,Crane,08/09/1982,196 cm,MF
Anthony,Danze,15/03/1984,183 cm,MF
Anthony,Driscoll-Glennon,26/11/1999,181 cm,DF
Anthony,Edgar,30/09/1990,172 cm,MF
Anthony,Elanga,27/04/2002,178 cm,FW
Anthony,Folan,18/09/1978,178 cm,MF
Anthony,Forde,16/11/1993,186 cm,MF
Anthony,Gardner,19/09/1980,196 cm,DF
Anthony,Georgiou,24/02/1997,179 cm,MF
Anthony,Gomez Mancini,06/04/2001,180 cm,MF
Anthony,Gordon,24/02/2001,182 cm,FW
Anthony,Grant,04/06/1987,180 cm,DF
Anthony,Knockaert,20/11/1991,172 cm,FW
Anthony,Le Tallec,03/10/1984,185 cm,FW
Anthony,Martial,05/12/1995,181 cm,FW
Anthony,Modeste,14/04/1988,187 cm,FW
Anthony,Ormerod,31/03/1979,178 cm,MF
Anthony,Pilkington,06/06/1988,183 cm,MF
Anthony,Réveillère,10/11/1979,180 cm,DF
Anthony,Stokes,25/07/1988,185 cm,FW
Anthony,Vanden Borre,24/10/1987,182 cm,DF
Antoine,Sibierski,05/08/1974,187 cm,FW
Antolín,Alcaráz,30/07/1982,187 cm,DF
Anton,Ferdinand,18/02/1985,178 cm,DF
Antonee,Robinson,08/08/1997,183 cm,DF
Antonio,Barreca,18/03/1995,183 cm,DF
Antonio,Luna,17/03/1991,178 cm,DF
Antonio,Nocerino,09/04/1985,176 cm,MF
Antonio,Rüdiger,03/03/1993,190 cm,DF
Antonio,Valencia,04/08/1985,180 cm,DF
Antonio,Valencia,04/08/1985,180 cm,MF
Antti,Niemi,31/05/1972,186 cm,GK
Antwoine,Hackford,20/03/2004,177 cm,FW
Anwar,El Ghazi,03/05/1995,189 cm,FW
Apostolos,Vellios,08/01/1992,191 cm,FW
Arbeloa,,17/01/1983,184 cm,DF
Archie,Gray,12/03/2006,???,FW
Archie,Mair,10/02/2001,198 cm,GK
Aristote,Nsiala,25/03/1992,193 cm,DF
Ariza,Makukula,04/03/1981,190 cm,FW
Arjan,de Zeeuw,16/04/1970,185 cm,DF
Arjan,Raikhy,20/10/2002,183 cm,MF
Arjen,Robben,23/01/1984,180 cm,FW
Armand,Traoré,08/10/1989,185 cm,DF
Armando,Broja,10/09/2001,191 cm,FW
Armstrong,Oko-Flex,02/03/2002,189 cm,FW
Arnar,Gunnlaugsson,06/03/1973,182 cm,FW
Arnau,Puigmal,10/01/2001,173 cm,MF
Arnaut,Danjuma,31/01/1997,178 cm,FW
Arnold,Mvuemba,28/01/1985,174 cm,MF
Aro,Murić,07/11/1998,198 cm,GK
Aron,Gunnarsson,22/04/1989,177 cm,MF
Arouna,Koné,11/11/1983,181 cm,FW
Arron,Davies,22/06/1984,175 cm,MF
Arthur,Masuaku,07/11/1993,179 cm,DF
Arthur,Okonkwo,09/09/2001,196 cm,GK
Artur,Boruc,20/02/1980,193 cm,GK
Arturo,Lupoli,24/06/1987,173 cm,FW
Aruna,Dindane,26/11/1980,174 cm,FW
Asamoah,Gyan,22/11/1985,186 cm,FW
Ashkan,Dejagah,05/07/1986,181 cm,MF
Ashley,Barnes,30/10/1989,186 cm,FW
Ashley,Cole,20/12/1980,170 cm,DF
Ashley,Eastham,22/03/1991,191 cm,DF
Ashley,Fletcher,02/10/1995,185 cm,FW
Ashley,Hemmings,03/03/1991,173 cm,FW
Ashley,Sammons,07/11/1991,174 cm,MF
Ashley,Vincent,26/05/1985,183 cm,FW
Ashley,Ward,24/11/1970,186 cm,FW
Ashley,Westwood,01/04/1990,174 cm,MF
Ashley,Westwood,31/08/1976,183 cm,DF
Ashley,Williams,23/08/1984,183 cm,DF
Ashley,Young,09/07/1985,175 cm,DF
Ashley,Young,09/07/1985,175 cm,MF
Asmir,Begović,20/06/1987,199 cm,GK
Aston,Oxborough,09/05/1998,196 cm,GK
Attilio,Lombardo,06/01/1966,175 cm,MF
Austin,Berkley,28/01/1973,175 cm,FW
Axel,Tuanzebe,14/11/1997,186 cm,DF
Axel,Tuanzebe,14/11/1997,186 cm,MF
Aymeric,Laporte,27/05/1994,190 cm,DF
Ayoze,Pérez,29/07/1993,178 cm,FW
Ayoze,Pérez,29/07/1993,178 cm,MF
Þórður,Guðjónsson,14/10/1973,177 cm,MF
Azar,Karadaş,09/08/1981,189 cm,FW
Azpilicueta,,28/08/1989,178 cm,DF
Błażej,Augustyn,26/01/1988,191 cm,DF
Bédi,Buval,16/06/1986,186 cm,FW
Bülent,Akin,28/08/1979,182 cm,MF
Bacary,Sagna,14/02/1983,176 cm,DF
Badou,N'Diaye,27/10/1990,180 cm,MF
Bafétimbi,Gomis,06/08/1985,184 cm,FW
Bailey,Peacock-Farrell,29/10/1996,193 cm,GK
Baily,Cargill,13/10/1995,189 cm,DF
Bakary,Sako,26/04/1988,184 cm,MF
Bali,Mumba,08/10/2001,163 cm,DF
Barragán,,12/06/1987,186 cm,DF
Barry,Bannan,01/12/1989,169 cm,MF
Barry,Ferguson,02/02/1978,179 cm,MF
Barry,Ferguson,07/09/1979,191 cm,DF
Barry,Hayles,17/05/1972,175 cm,FW
Barry,Horne,18/05/1962,178 cm,MF
Barry,Quinn,09/05/1979,183 cm,MF
Barry,Venison,16/08/1964,178 cm,DF
Bartosz,Kapustka,23/12/1996,179 cm,MF
Bastian,Schweinsteiger,01/08/1984,183 cm,MF
Bayli,Spencer-Adams,26/06/2001,190 cm,DF
Bebé,,12/07/1990,190 cm,FW
Belletti,,20/06/1976,174 cm,DF
Ben,Alnwick,01/01/1987,188 cm,GK
Ben,Amos,10/04/1990,180 cm,GK
Ben,Burgess,09/11/1981,191 cm,FW
Ben,Chilwell,21/12/1996,180 cm,DF
Ben,Clark,24/01/1983,187 cm,DF
Ben,Cottrell,31/10/2001,166 cm,MF
Ben,Davies,11/08/1995,185 cm,DF
Ben,Davies,24/04/1993,181 cm,DF
Ben,Foster,03/04/1983,193 cm,GK
Ben,Gibson,15/01/1993,185 cm,DF
Ben,Godfrey,15/01/1998,186 cm,DF
Ben,Godfrey,15/01/1998,186 cm,MF
Ben,Hamer,20/11/1987,193 cm,GK
Ben,Hinchcliffe,09/10/1988,185 cm,GK
Ben,Hinchcliffe,25/09/1997,???,MF
Ben,Iroha,29/11/1969,168 cm,DF
Ben,Johnson,24/01/2000,184 cm,DF
Ben,Jones,02/10/1982,170 cm,FW
Ben,Mee,21/09/1989,180 cm,DF
Ben,Nelson,18/03/2004,185 cm,DF
Ben,Osborn,05/08/1994,176 cm,MF
Ben,Roberts,22/06/1975,184 cm,GK
Ben,Sahar,10/08/1989,180 cm,FW
Ben,Sheaf,05/02/1998,185 cm,MF
Ben,Thatcher,30/11/1975,178 cm,DF
